"symbol","name","stockPrice","peRatio","marketCapitalization","divYield","revenueGrowth3yr","incomeGrowth3yr"
"ASX","ASE Technology Holding Co.Ltd ADR",6.4,8.1,13706996563.2,7.30015625,32.11,20.25
"MU","Micron Technology Inc.",65.04,7.4,71748557824.32,0.6150061500615006,,9.74
